College Code,College Name,Branch Code,Branch Name,OC,BC,BCM,MBC,SC,SCA,ST,district
1,"University Departments Of Anna University Chennai - Ceg
                      Campus Sardar Patel Road Guindy Chennai 600 025",BY,Bio Medical Engineering (Ss),195,192,193,193,182.5,168,0, Chennai
1,"University Departments Of Anna University Chennai - Ceg
                      Campus Sardar Patel Road Guindy Chennai 600 025",CE,Civil Engineering,195,192,190,193.5,186,176,0,Chennai
1,"University Departments Of Anna University Chennai - Ceg
                      Campus Sardar Patel Road Guindy Chennai 600 025",CM,Computer Science And Engineering (Ss),199.5,199,198,199,195.5,190.5,0,Chennai
1,"University Departments Of Anna University Chennai - Ceg
                      Campus Sardar Patel Road Guindy Chennai 600 025",CS,Computer Science And Engineering,200,199.5,198.5,199.5,197.5,195,191.5,Chennai
1,"University Departments Of Anna University Chennai - Ceg
                      Campus Sardar Patel Road Guindy Chennai 600 025",EC,Electronics And Communication Engineering,199.5,199,197.5,198.5,197,196,0,Chennai
1,"University Departments Of Anna University Chennai - Ceg
                      Campus Sardar Patel Road Guindy Chennai 600 025",EE,Electrical And Electronics Engineering,197.5,196.5,196.5,196,192.5,187.5,190,Chennai
1,"University Departments Of Anna University Chennai - Ceg
                      Campus Sardar Patel Road Guindy Chennai 600 025",EL,Electronics Engineering (Vlsi Design And Technology) (Ss),197,196.5,194.5,195.5,191,0,164,Chennai
1,"University Departments Of Anna University Chennai - Ceg
                      Campus Sardar Patel Road Guindy Chennai 600 025",EM,Electronics And Communication Engineering (Ss),198.5,198.5,197.5,197.5,194,191.5,180.5, Chennai
1,"University Departments Of Anna University Chennai - Ceg
                      Campus Sardar Patel Road Guindy Chennai 600 025",GI,Geo Informatics,191,188,189,186,177,175,0,Chennai
1,"University Departments Of Anna University Chennai - Ceg
                      Campus Sardar Patel Road Guindy Chennai 600 025",IE,Industrial Engineering,190.5,186,186,185,176.5,163.5,167,Chennai
1,"University Departments Of Anna University Chennai - Ceg
                      Campus Sardar Patel Road Guindy Chennai 600 025",IM,Information Technology (Ss),198.5,198,197.5,197.5,193.5,191,193,Chennai
1,"University Departments Of Anna University Chennai - Ceg
                      Campus Sardar Patel Road Guindy Chennai 600 025",MA,Material Science And Engineering (Ss),189.5,186,189,185,175,157.5,0,Chennai
1,"University Departments Of Anna University Chennai - Ceg
                      Campus Sardar Patel Road Guindy Chennai 600 025",ME,Mechanical Engineering,194.5,192.5,193.5,192.5,187,182.5,184.5,Chennai
1,"University Departments Of Anna University Chennai - Ceg
                      Campus Sardar Patel Road Guindy Chennai 600 025",MI,Mining Engineering,191.5,186.5,186,189.5,181,164.5,0,Chennai
1,"University Departments Of Anna University Chennai - Ceg
                      Campus Sardar Patel Road Guindy Chennai 600 025",MN,Manufacturing Engineering,188.585,184,186.5,184.5,175,164,168.5,Chennai
1,"University Departments Of Anna University Chennai - Ceg
                      Campus Sardar Patel Road Guindy Chennai 600 025",PT,Printing & Packing Technology,184.5,176.5,166.5,173,167,149,167.5,Chennai
1,"University Departments Of Anna University Chennai - Ceg
                      Campus Sardar Patel Road Guindy Chennai 600 025",XC,Civil Engineering (Tamil Medium),188.405,179,181,181.5,167,156.5,0,Chennai
1,"University Departments Of Anna University Chennai - Ceg
                      Campus Sardar Patel Road Guindy Chennai 600 025",XM,Mechanical Engineering (Tamil Medium),187.5,179.5,186,179,163.5,0,158.5,Chennai
2,"University Departments Of Anna University Chennai - Act
                      Campus Sardar Patel Road Guindy Chennai 600 025",AP,Apparel Technology (Ss),171.5,164,158.5,157.5,152.5,0,152.5,Chennai
2,"University Departments Of Anna University Chennai - Act
                      Campus Sardar Patel Road Guindy Chennai 600 025",CH,Chemical Engineering,192.5,190.5,190,189.5,181.5,180.5,159,Chennai
1121,"Sri Venkateswara Institute Of Science And Technology, Kolundhalur, Thiruvallur Taluk & District-631203.",CS,Computer Science And Engineering,117,0,0,0,0,0,0,Thiruvallur
1121,"Sri Venkateswara Institute Of Science And Technology, Kolundhalur, Thiruvallur Taluk & District-631203.",EC,Electronics And Communication Engineering,0,0,0,0,0,0,0,Thiruvallur
1121,"Sri Venkateswara Institute Of Science And Technology, Kolundhalur, Thiruvallur Taluk & District-631203.",EE,Electrical And Electronics Engineering,0,0,0,0,0,0,0,Thiruvallur
1121,"Sri Venkateswara Institute Of Science And Technology, Kolundhalur, Thiruvallur Taluk & District-631203.",ME,Mechanical Engineering,0,0,0,0,0,0,0,Thiruvallur
1121,"Sri Venkateswara Institute Of Science And Technology, Kolundhalur, Thiruvallur Taluk & District-631203.",SC,Computer Science And Engineering (Cyber Security),0,0,0,0,0,0,0,Thiruvallur
1122,"Vel Tech High Tech Dr.Rangarajan Dr.Sakunthala Engineering College (Autonomous), No. 60, Veltech Road, Avadi, Morai, Thiruvallur-600062.",AD,Artificial Intelligence And Data Science,163,155.5,157.5,152,139,0,0,Thiruvallur
1122,"Vel Tech High Tech Dr.Rangarajan Dr.Sakunthala Engineering College (Autonomous), No. 60, Veltech Road, Avadi, Morai, Thiruvallur-600062.",AM,Computer Science And Engineering (Ai And Machine Learning),160.5,153,156.5,151,129.5,0,123,Thiruvallur
1122,"Vel Tech High Tech Dr.Rangarajan Dr.Sakunthala Engineering College (Autonomous), No. 60, Veltech Road, Avadi, Morai, Thiruvallur-600062.",BT,Bio Technology,145,125,100,113,97.5,0,0,Thiruvallur
1122,"Vel Tech High Tech Dr.Rangarajan Dr.Sakunthala Engineering College (Autonomous), No. 60, Veltech Road, Avadi, Morai, Thiruvallur-600062.",CE,Civil  Engineering,139,115.5,0,121,98,0,0,Thiruvallur
1122,"Vel Tech High Tech Dr.Rangarajan Dr.Sakunthala Engineering College (Autonomous), No. 60, Veltech Road, Avadi, Morai, Thiruvallur-600062.",CH,Chemical  Engineering,146.5,101.5,138.5,120.5,96,0,0,Thiruvallur
1122,"Vel Tech High Tech Dr.Rangarajan Dr.Sakunthala Engineering College (Autonomous), No. 60, Veltech Road, Avadi, Morai, Thiruvallur-600062.",CS,Computer Science And Engineering,167,157,154.5,153.5,133,115,0,Thiruvallur
1122,"Vel Tech High Tech Dr.Rangarajan Dr.Sakunthala Engineering College (Autonomous), No. 60, Veltech Road, Avadi, Morai, Thiruvallur-600062.",EC,Electronics And Communication Engineering,162,153.5,154,149,124.5,0,0,Thiruvallur
1122,"Vel Tech High Tech Dr.Rangarajan Dr.Sakunthala Engineering College (Autonomous), No. 60, Veltech Road, Avadi, Morai, Thiruvallur-600062.",IT,Information Technology,160,154,147.5,150.5,127.5,0,0,Thiruvallur
1122,"Vel Tech High Tech Dr.Rangarajan Dr.Sakunthala Engineering College (Autonomous), No. 60, Veltech Road, Avadi, Morai, Thiruvallur-600062.",ME,Mechanical Engineering,135.5,112,119.5,114,101,0,0,Thiruvallur
1123,"Gojan School Of Business And Technology, 80-Feet Road, Edapalayam, Red Hills, Thiruvallur, Chennai-600052.",AD,Artificial Intelligence And Data Science,126,0,0,0,118.5,0,0,Chennai
1123,"Gojan School Of Business And Technology, 80-Feet Road, Edapalayam, Red Hills, Thiruvallur, Chennai-600052.",AE,Aeronautical Engineering,121,0,0,86.5,98,0,0,Chennai
1123,"Gojan School Of Business And Technology, 80-Feet Road, Edapalayam, Red Hills, Thiruvallur, Chennai-600052.",AM,Computer Science And Engineering (Ai And Machine Learning),120.5,0,97.5,0,116,0,0,Chennai
1123,"Gojan School Of Business And Technology, 80-Feet Road, Edapalayam, Red Hills, Thiruvallur, Chennai-600052.",BT,Bio Technology,0,0,0,0,0,0,0,Chennai
1123,"Gojan School Of Business And Technology, 80-Feet Road, Edapalayam, Red Hills, Thiruvallur, Chennai-600052.",CB,Computer Science And Bussiness System,117.5,0,0,86.5,95.5,0,0,Chennai
1123,"Gojan School Of Business And Technology, 80-Feet Road, Edapalayam, Red Hills, Thiruvallur, Chennai-600052.",CO,Computer And  Communication Engineering,122,0,0,82.5,89,0,0,Chennai
2731,"Rvs College Of Engineering And Technology (Autonomous), Kumaran Kottam Campus, Kannampalayam Post, Coimbatore-641402.",ME,Mechanical Engineering,128,107,97.5,86,97.5,97,0,Coimbatore
2731,"Rvs College Of Engineering And Technology (Autonomous), Kumaran Kottam Campus, Kannampalayam Post, Coimbatore-641402.",MU,Mechanical And Automation Engineering,114,0,0,0,0,0,0,Coimbatore
2731,"Rvs College Of Engineering And Technology (Autonomous), Kumaran Kottam Campus, Kannampalayam Post, Coimbatore-641402.",PD,Petro Chemical Engineering,120,0,88.5,0,0,0,0,Coimbatore
2732,"Info Institute Of Engineering, S F No.194-200, N.H.209, Sathy Road, Sarakarsamakulam, Kovilpalayam, Coimbatore-641107.",AD,Artificial Intelligence And Data Science,132,100,0,105.5,0,107.5,0,Coimbatore
2732,"Info Institute Of Engineering, S F No.194-200, N.H.209, Sathy Road, Sarakarsamakulam, Kovilpalayam, Coimbatore-641107.",CS,Computer Science And Engineering,111,0,0,0,0,0,0,Coimbatore
2732,"Info Institute Of Engineering, S F No.194-200, N.H.209, Sathy Road, Sarakarsamakulam, Kovilpalayam, Coimbatore-641107.",EC,Electronics And Communication Engineering,107.5,0,0,0,0,101,0,Coimbatore
2732,"Info Institute Of Engineering, S F No.194-200, N.H.209, Sathy Road, Sarakarsamakulam, Kovilpalayam, Coimbatore-641107.",EE,Electrical And Electronics Engineering,100,0,0,0,0,0,0,Coimbatore
2732,"Info Institute Of Engineering, S F No.194-200, N.H.209, Sathy Road, Sarakarsamakulam, Kovilpalayam, Coimbatore-641107.",IT,Information Technology,114.5,0,0,0,0,0,0,Coimbatore
2732,"Info Institute Of Engineering, S F No.194-200, N.H.209, Sathy Road, Sarakarsamakulam, Kovilpalayam, Coimbatore-641107.",ME,Mechanical Engineering,0,0,0,0,0,0,0,Coimbatore
2733,"Angel College Of Engineering And Technology, Pk Palayam Po,Dharapuram Main Road, Ugayanur Village, Tiruppur-641665.",CE,Civil  Engineering,0,0,0,0,0,0,0,Tiruppur
2733,"Angel College Of Engineering And Technology, Pk Palayam Po,Dharapuram Main Road, Ugayanur Village, Tiruppur-641665.",CS,Computer Science And Engineering,0,0,0,0,0,0,0,Tiruppur
2733,"Angel College Of Engineering And Technology, Pk Palayam Po,Dharapuram Main Road, Ugayanur Village, Tiruppur-641665.",EC,Electronics And Communication Engineering,0,0,0,0,0,0,0,Tiruppur
2733,"Angel College Of Engineering And Technology, Pk Palayam Po,Dharapuram Main Road, Ugayanur Village, Tiruppur-641665.",EE,Electrical And Electronics Engineering,0,0,0,0,0,0,0,Tiruppur
2733,"Angel College Of Engineering And Technology, Pk Palayam Po,Dharapuram Main Road, Ugayanur Village, Tiruppur-641665.",FT,Fashion Technology,0,0,0,0,0,0,0,Tiruppur
2733,"Angel College Of Engineering And Technology, Pk Palayam Po,Dharapuram Main Road, Ugayanur Village, Tiruppur-641665.",ME,Mechanical Engineering,0,0,0,0,0,0,0,Tiruppur
2734,"Sns College Of Engineering (Autonomous), Sathy Main Road, Kurumbapalayam Post, Coimbatore-641107.",AD,Artificial Intelligence And Data Science,166.5,159.5,157.5,155.5,92,0,0,Coimbatore
2734,"Sns College Of Engineering (Autonomous), Sathy Main Road, Kurumbapalayam Post, Coimbatore-641107.",CD,Computer Science And Design,161,151,139.5,149.5,0,0,0,Coimbatore
2734,"Sns College Of Engineering (Autonomous), Sathy Main Road, Kurumbapalayam Post, Coimbatore-641107.",CS,Computer Science And Engineering,171,162,152.5,155.5,92,150,0,Coimbatore
2734,"Sns College Of Engineering (Autonomous), Sathy Main Road, Kurumbapalayam Post, Coimbatore-641107.",EC,Electronics And Communication Engineering,167,159.5,152.5,155.5,0,0,0,Coimbatore
2734,"Sns College Of Engineering (Autonomous), Sathy Main Road, Kurumbapalayam Post, Coimbatore-641107.",EE,Electrical And Electronics Engineering,160,151,129,139.5,0,0,0,Coimbatore
2734,"Sns College Of Engineering (Autonomous), Sathy Main Road, Kurumbapalayam Post, Coimbatore-641107.",IT,Information Technology,162.5,159,160,154,105,118,0,Coimbatore
2734,"Sns College Of Engineering (Autonomous), Sathy Main Road, Kurumbapalayam Post, Coimbatore-641107.",ME,Mechanical Engineering,134.5,113,119.5,102.5,0,0,0,Coimbatore
2734,"Sns College Of Engineering (Autonomous), Sathy Main Road, Kurumbapalayam Post, Coimbatore-641107.",MO,Mechanical And Mechatronics Engineering (Additive Manufacturing),132,111.5,120,0,0,0,0,Coimbatore
2734,"Sns College Of Engineering (Autonomous), Sathy Main Road, Kurumbapalayam Post, Coimbatore-641107.",SB,Computer Science And Engineering (Internet Of Things And Cyber Security Including Block Chain Technology),173.5,156,139.5,150.5,0,104.5,157,Coimbatore
2734,"Sns College Of Engineering (Autonomous), Sathy Main Road, Kurumbapalayam Post, Coimbatore-641107.",TS,Computer Science And Technology,159.5,154,142,150,0,0,0,Coimbatore
